wavenumber,II1,III11,IV1
1550.768064,96.412424,94.423989,98.036299
1548.839248,96.420969,94.518084,98.037191
1546.910432,96.443777,94.602091,98.095857
1544.981616,96.404417,94.548752,97.910755
1543.0528,96.304978,94.424998,97.660997
1541.123984,96.260529,94.388169,97.458059
1539.195168,96.284105,94.39153,97.464982
1537.266352,96.367862,94.63012,97.846397
1535.337536,96.419652,94.775784,97.989576
1533.40872,96.401314,94.753304,97.855519
1531.479904,96.377613,94.791232,97.925555
1529.551088,96.398836,94.902662,98.025301
1527.622272,96.362305,94.845987,97.917643
1525.693456,96.285301,94.699537,97.767662
1523.76464,96.226604,94.644418,97.697076
1521.835824,96.162051,94.556179,97.502616
1519.907008,96.076156,94.371489,97.458732
1517.978192,96.063251,94.345755,97.513001
1516.049376,95.994167,94.28805,97.457486
1514.12056,96.024226,94.366884,97.622481
1512.191744,96.068972,94.443984,97.705489
1510.262928,96.057017,94.415516,97.608126
1508.334112,96.015923,94.327716,97.350281
1506.405296,95.936021,94.248346,97.088075
1504.47648,96.022121,94.497461,97.555863
1502.547664,96.142694,94.720289,97.85941
1500.618848,96.194032,94.797037,97.916319
1498.690032,96.152923,94.74944,97.787363
1496.761216,96.090232,94.70185,97.669284
1494.8324,96.083085,94.716762,97.752529
1492.903584,96.100812,94.748975,97.856274
1490.974768,96.014263,94.602557,97.660443
1489.045952,95.839648,94.340827,97.379379
1487.117136,95.774231,94.245088,97.409936
1485.18832,95.730061,94.175975,97.493262
1483.259504,95.610441,93.991329,97.409919
1481.330688,95.391894,93.628748,97.12143
1479.401872,95.077682,93.120163,96.712355
1477.473056,94.738234,92.567509,96.2242
1475.54424,94.294979,91.821674,95.550518
1473.615424,93.829956,91.07625,94.901493
1471.686608,93.196952,90.022546,94.124895
1469.757792,92.778175,89.325429,93.762573
1467.828976,92.461209,88.846877,93.458259
1465.90016,92.131133,88.365388,93.113681
1463.971344,91.778021,87.88138,92.90103
1462.042528,91.573728,87.710396,92.985783
1460.113712,91.459862,87.662761,92.995006
1458.184896,91.291223,87.46666,92.796402
1456.25608,91.043239,87.124634,92.715892
1454.327264,91.094826,87.308869,93.224563
1452.398448,91.243748,87.650139,93.683781
1450.469632,91.34369,87.88334,94.02243
1448.540816,91.404953,88.072715,94.294476
1446.612,91.445818,88.215142,94.56696
1444.683184,91.49753,88.372257,94.835671
1442.754368,91.496881,88.426754,94.960774
1440.825552,91.433947,88.331703,94.932876
1438.896736,91.343513,88.170818,94.793586
1436.96792,91.15249,87.825536,94.420518
1435.039104,90.843106,87.273952,94.036611
1433.110288,90.753499,87.195783,94.073307
1431.181472,90.710971,87.18109,94.108558
1429.252656,90.638015,87.074603,94.114455
1427.32384,90.583412,87.006076,94.20393
1425.395024,90.526561,86.962484,94.225663
1423.466208,90.393556,86.770688,94.116011
1421.537392,90.315303,86.670872,94.110807
1419.608576,90.194329,86.51091,93.934326
1417.67976,89.935137,86.092999,93.633525
1415.750944,89.884211,86.045918,93.697775
1413.822128,89.871521,86.074755,93.765543
1411.893312,89.813417,85.993716,93.690907
1409.964496,89.742759,85.878715,93.561111
1408.03568,89.711125,85.834875,93.480897
1406.106864,89.686766,85.779077,93.345506
1404.178048,89.647682,85.63892,93.159478
1402.249232,89.647379,85.594954,93.114277
1400.320416,89.657416,85.612862,93.012907
1398.3916,89.591235,85.451067,92.759478
1396.462784,89.562802,85.367537,92.633308
1394.533968,89.540876,85.312325,92.546968
1392.605152,89.531526,85.287577,92.596142
1390.676336,89.572374,85.382432,92.708539
1388.74752,89.554577,85.385139,92.701357
1386.818704,89.452405,85.255681,92.633981
1384.889888,89.376722,85.183494,92.710997
1382.961072,89.31807,85.167062,92.772638
1381.032256,89.216282,85.093353,92.768629
1379.10344,89.13431,85.074129,92.818454
1377.174624,89.087521,85.111265,92.93082
1375.245808,89.033614,85.132439,92.984243
1373.316992,88.906987,84.997314,92.960157
1371.388176,88.822672,84.93391,93.035362
1369.45936,88.761964,84.894668,93.047738
1367.530544,88.692048,84.788237,92.99092
1365.601728,88.637273,84.7197,92.900931
1363.672912,88.52596,84.553656,92.614591
1361.744096,88.351986,84.213363,92.212878
1359.81528,88.27365,84.053457,92.066608
1357.886464,88.245407,84.004445,91.979839
1355.957648,88.200454,83.935225,91.853809
1354.028832,88.149453,83.812329,91.682542
1352.100016,88.08637,83.66541,91.479405
1350.1712,88.010882,83.50406,91.254942
1348.242384,87.927324,83.34051,91.058532
1346.313568,87.877821,83.250867,90.954099
1344.384752,87.84924,83.221653,90.91677
1342.455936,87.819372,83.20538,90.905544
1340.52712,87.767972,83.156296,90.849365
1338.598304,87.711459,83.105687,90.860556
1336.669488,87.732982,83.181724,91.020068
1334.740672,87.77689,83.271812,91.143294
1332.811856,87.805917,83.340835,91.213758
1330.88304,87.836485,83.4049,91.23673
1328.954224,87.899532,83.486765,91.266412
1327.025408,88.01138,83.603387,91.33683
1325.096592,88.157418,83.794573,91.453496
1323.167776,88.30773,83.989969,91.57805
1321.23896,88.43937,84.137351,91.654306
1319.310144,88.541903,84.223305,91.650346
1317.381328,88.62039,84.279261,91.64368
1315.452512,88.677269,84.343246,91.630508
1313.523696,88.713264,84.361598,91.570621
1311.59488,88.730952,84.346875,91.487519
1309.666064,88.748017,84.36475,91.438525
1307.737248,88.751915,84.359614,91.412891
1305.808432,88.756561,84.340792,91.411035
1303.879616,88.74872,84.3431,91.417536
1301.9508,88.744783,84.360063,91.430404
1300.021984,88.749715,84.376217,91.425569
1298.093168,88.752861,84.382089,91.413056
1296.164352,88.774475,84.405127,91.412877
1294.235536,88.807925,84.444246,91.408649
1292.30672,88.844981,84.459903,91.378575
1290.377904,88.876288,84.433913,91.308714
1288.449088,88.868578,84.369533,91.196442
1286.520272,88.84234,84.310461,91.089622
1284.591456,88.835514,84.283124,91.040293
1282.66264,88.857342,84.270629,91.027848
1280.733824,88.866438,84.257874,90.973292
1278.805008,88.874648,84.230194,90.914953
1276.876192,88.875228,84.16735,90.857052
1274.947376,88.845424,84.077155,90.780657
1273.01856,88.794241,83.971797,90.70849
1271.089744,88.729157,83.87899,90.652529
1269.160928,88.691047,83.801557,90.607746
1267.232112,88.63381,83.665463,90.529546
1265.303296,88.543821,83.468356,90.419882
1263.37448,88.45589,83.238004,90.290819
1261.445664,88.364561,83.027893,90.150671
1259.516848,88.263343,82.867612,90.023064
1257.588032,88.194436,82.805671,89.946574
1255.659216,88.148803,82.789166,89.886334
1253.7304,88.083598,82.743491,89.793803
1251.801584,88.00594,82.661872,89.680484
1249.872768,87.893373,82.49808,89.51472
1247.943952,87.742045,82.250902,89.292118
1246.015136,87.568113,82.001776,89.042262
1244.08632,87.37857,81.712251,88.769902
1242.157504,87.218543,81.432946,88.52436
1240.228688,87.108309,81.255193,88.363975
1238.299872,87.009379,81.145135,88.265438
1236.371056,86.946465,81.09,88.208499
1234.44224,86.914439,81.073554,88.197487
1232.513424,86.898988,81.078316,88.179811
1230.584608,86.898041,81.084956,88.133035
1228.655792,86.889455,81.062924,88.033698
1226.726976,86.879401,80.999836,87.882023
1224.79816,86.856931,80.907931,87.687868
1222.869344,86.819953,80.78234,87.452937
1220.940528,86.76131,80.618116,87.171821
1219.011712,86.66359,80.410857,86.843261
1217.082896,86.532858,80.143788,86.481184
1215.15408,86.381406,79.85403,86.131977
1213.225264,86.232851,79.559906,85.77552
1211.296448,86.059497,79.21366,85.374414
1209.367632,85.855409,78.821126,84.941387
1207.438816,85.644958,78.418067,84.484455
1205.51,85.439353,78.032558,84.012581
1203.581184,85.252681,77.649969,83.492923
1201.652368,85.124954,77.298055,82.990411
1199.723552,85.052154,76.996856,82.519856
1197.794736,85.006422,76.759275,82.063152
1195.86592,84.965452,76.554379,81.630529
1193.937104,84.96948,76.397728,81.255611
1192.008288,85.055682,76.315197,80.968781
1190.079472,85.145803,76.252836,80.753762
1188.150656,85.237186,76.234211,80.610896
1186.22184,85.308412,76.23249,80.510193
1184.293024,85.373311,76.248991,80.502414
1182.364208,85.454,76.318893,80.609565
1180.435392,85.553836,76.392351,80.790681
1178.506576,85.609131,76.476845,81.058303
1176.57776,85.637935,76.581428,81.448397
1174.648944,85.61592,76.653696,81.905366
1172.720128,85.504218,76.668715,82.412424
1170.791312,85.261873,76.559841,82.912116
1168.862496,84.863292,76.271125,83.379144
1166.93368,84.31533,75.849802,83.842561
1165.004864,83.627927,75.337228,84.296597
1163.076048,82.868552,74.77841,84.754878
1161.147232,82.068738,74.187294,85.210093
1159.218416,81.287267,73.598103,85.625621
1157.2896,80.562538,73.023009,85.933754
1155.360784,79.918066,72.487191,86.10262
1153.431968,79.403763,72.05199,86.187987
1151.503152,79.07807,71.792403,86.274783
1149.574336,78.979425,71.800582,86.461608
1147.64552,79.114475,72.123207,86.798498
1145.716704,79.444208,72.683058,87.211211
1143.787888,79.934978,73.38344,87.642217
1141.859072,80.516264,74.125362,88.016135
1139.930256,81.079029,74.815539,88.2686
1138.00144,81.602221,75.416946,88.446107
1136.072624,82.050357,75.878191,88.572626
1134.143808,82.354242,76.156272,88.633465
1132.214992,82.510227,76.262083,88.650622
1130.286176,82.519748,76.205578,88.632554
1128.35736,82.441523,76.037376,88.579281
1126.428544,82.298357,75.801911,88.460162
1124.499728,82.126816,75.543855,88.306171
1122.570912,81.978953,75.263312,88.133339
1120.642096,81.844205,74.986209,87.943996
1118.71328,81.724554,74.748765,87.795777
